Player,Nation,Age,Pos,Squad,Comp,MP,Starts,Min,90s,Touches,Carries,PrgDist,PrgC,PrgP,PrgR,Att_stats_possession,Succ,Succ%,Gls,Ast,G+A,xG,npxG,xAG,xG+xAG,Crs,Tkl,Int,Tkl+Int,Blocks,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,G-xG,np:G-xG,KP,PPA,1/3,CrsPA,SCA,SCA90,GCA,GCA90,Att Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Live_stats_possession,Rec,Won,Lost,Cmp,Clr,FatigueIndex,StyleInsight,PlayerCluster,PlayerStyle,PlayerImg,TeamImg
Brenden Aaronson,us USA,25.0,"FW,MF",Leeds United,eng Premier League,13,9,791,8.8,368,192,576,19,22,44,31,10,32.3,1,1,2,2.0,2.0,1.3,0.38,15,25,7,32,7,17,6,35.3,1.93,0.68,0.06,0.17,-1.0,-1.0,11,9,14,4,28,3.19,4,0.46,22,64,163,147,368,209,6,13,178,10,0.3893917545760221,Liga equilibrada,4,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/FC_RB_Salzburg_gegen_WSG_Tirol_%28_mit_Meisterteller%C3%BCbergabe_22._Mai_2021%29_15.jpg/250px-FC_RB_Salzburg_gegen_WSG_Tirol_%28_mit_Meisterteller%C3%BCbergabe_22._Mai_2021%29_15.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/250px-Leeds_United_F.C._logo.svg.png
Jones El-Abdellaoui,ma MAR,19.0,"MF,FW",Celta Vigo,es La Liga,7,0,139,1.5,87,58,68,16,0,33,9,3,33.3,0,0,0,0.9,0.9,0.1,0.65,13,1,1,2,5,5,1,20.0,3.24,0.65,0.0,0.0,-0.9,-0.9,3,1,1,1,6,3.88,0,0.0,5,8,24,56,87,63,2,3,43,5,-0.9354435073422578,Liga equilibrada,0,Interior Conductor,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/RC_Celta_de_Vigo_logo.svg/250px-RC_Celta_de_Vigo_logo.svg.png
Himad Abdelli,dz ALG,26.0,MF,Angers,fr Ligue 1,11,9,764,8.5,594,333,2043,34,62,11,23,11,47.8,1,0,1,1.1,0.3,0.4,0.18,9,16,12,28,8,6,1,16.7,0.71,0.12,0.0,0.0,-0.1,-0.3,6,9,40,0,22,2.59,2,0.24,7,157,357,90,593,421,8,3,422,10,0.7381002479336984,Liga ofensiva y vertical,3,Organizador / Regista,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Abdelli_asse_sco_2425.png/250px-Abdelli_asse_sco_2425.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Angers_SCO_logo.svg/250px-Angers_SCO_logo.svg.png
Ali Abdi,tn TUN,31.0,"DF,MF",Nice,fr Ligue 1,7,5,353,3.9,157,74,399,9,4,13,9,3,33.3,0,0,0,0.0,0.0,0.4,0.1,9,8,3,11,6,0,0,,0.0,0.0,,,0.0,0.0,4,3,8,1,6,1.61,0,0.0,4,45,65,48,157,88,5,2,85,9,-0.521285512789645,Liga ofensiva y vertical,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/OGC_Nice_logo.svg/250px-OGC_Nice_logo.svg.png
Salis Abdul Samed,gh GHA,25.0,MF,Nice,fr Ligue 1,10,7,485,5.4,292,179,746,5,8,5,3,1,33.3,0,0,0,0.0,0.0,0.0,0.0,1,7,7,14,3,0,0,,0.0,0.0,,,0.0,0.0,1,1,15,0,5,0.93,1,0.19,3,64,198,31,292,216,4,3,242,3,-0.1456753005160604,Liga ofensiva y vertical,0,Interior Mixto,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lens_-_Reims_%2812-05-2023%29_45.jpg/250px-Lens_-_Reims_%2812-05-2023%29_45.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/OGC_Nice_logo.svg/250px-OGC_Nice_logo.svg.png
Saud Abdulhamid,sa KSA,26.0,DF,Lens,fr Ligue 1,10,1,217,2.4,173,63,575,3,14,24,6,1,16.7,0,1,1,0.0,0.0,0.5,0.21,10,10,2,12,3,1,0,0.0,0.41,0.0,0.0,,0.0,0.0,2,3,4,0,4,1.67,1,0.42,8,37,65,72,173,104,2,4,116,4,-0.6416351699888502,Liga ofensiva y vertical,0,Defensa Posicional,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg/250px-Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/RC_Lens_logo.svg/250px-RC_Lens_logo.svg.png
Laurent Abergel,fr FRA,32.0,MF,Lorient,fr Ligue 1,13,13,1126,12.5,869,560,3828,14,71,12,11,4,36.4,1,0,1,0.6,0.6,0.6,0.09,2,21,10,31,7,12,3,25.0,0.96,0.24,0.08,0.33,0.4,0.4,9,7,82,1,30,2.4,1,0.08,8,242,505,128,869,649,9,13,681,24,1.7552397138737117,Liga ofensiva y vertical,2,Organizador / Regista,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/RC_Lens_-_AS_Nancy-Lorraine_%2819-01-2019%29_29.jpg/250px-RC_Lens_-_AS_Nancy-Lorraine_%2819-01-2019%29_29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/FC_Lorient_logo.svg/250px-FC_Lorient_logo.svg.png
Matthis Abline,fr FRA,22.0,"FW,MF",Nantes,fr Ligue 1,14,11,1068,11.9,342,213,636,43,27,68,56,28,50.0,2,2,4,3.4,2.6,1.3,0.39,14,12,2,14,10,38,9,23.7,3.2,0.76,0.05,0.22,-1.4,-0.6,13,12,15,2,41,3.46,3,0.25,63,41,127,191,341,240,15,2,126,6,0.510981721076019,Liga ofensiva y vertical,5,9 Goleador de Área,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Abline_asse_fcn_2425.png/250px-Abline_asse_fcn_2425.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Logo_FC_Nantes_%28avec_fond%29_-_2019.svg/250px-Logo_FC_Nantes_%28avec_fond%29_-_2019.svg.png
Abner,br BRA,25.0,DF,Lyon,fr Ligue 1,8,8,630,7.0,385,200,1702,14,33,36,7,3,42.9,1,0,1,0.9,0.9,0.4,0.18,18,9,3,12,7,8,2,25.0,1.14,0.29,0.13,0.5,0.1,0.1,5,9,31,2,18,2.57,1,0.14,20,106,162,119,385,264,4,2,273,17,0.1691578822061354,Liga ofensiva y vertical,3,Central Constructor,https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Olympique_Lyonnais_logo.svg/250px-Olympique_Lyonnais_logo.svg.png
Zakaria Aboukhlal,ma MAR,25.0,"FW,MF",Torino,it Serie A,7,1,165,1.8,59,41,127,7,4,8,8,2,25.0,0,0,0,0.2,0.2,0.0,0.09,4,7,0,7,2,2,2,100.0,1.09,1.09,0.0,0.0,-0.2,-0.2,0,1,1,1,2,1.09,0,0.0,6,7,28,28,59,44,1,1,21,0,-0.8602666074368691,Liga equilibrada,0,Atacante Asociativo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Aboukhlal.jpg/250px-Aboukhlal.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/250px-Torino_FC_Logo.svg.png
